套卷名称,题型,题号,题干,选项A,选项B,选项C,选项D,答案
第一套卷会议文献专项,单项选择题,1,"十月革命一声炮响给中国送来了马克思列宁主义。在中国大地上率先举起马克思主义旗帜的是李大钊。他发表的《我的马克思主义观》一文，明确地把马克思主义称为"世界改造原动的学说"，并且对马克思的唯物史观、剩余价值学说和阶级斗争理论作了比较系统的介绍。这标志着",马克思主义开始与中国工人运动的结合,新民主主义革命的开端,旧民主主义革命的结束,马克思主义在中国进入比较系统的传播阶段,
第一套卷会议文献专项,单项选择题,2,"1925年，毛泽东同志在《中国社会各阶级的分析》一文中，以马克思主义的阶级分析方法，分析了中国社会各阶级，辨明了中国革命的敌人和朋友。文章指出，中国革命的首要问题是",国家政权,分清敌友,无产阶级领导权,农民问题,
第一套卷会议文献专项,单项选择题,3,"统一战线是党的总路线总政策的重要组成部分。建立最广泛的统一战线，是党克敌制胜的重要法宝，是党执政兴国的重要法宝，是团结海内外全体中华儿女实现中华民族伟大复兴的重要法宝。1922年中共二大通过了《关于"民主的联合战线"的议决案》，标志着中国共产党统一战线政策的正式提出。中共二大提出组成"民主的联合战线"，主要目的是",坚持中国共产党在统一战线中的领导权,反对封建压迫和国民党新军阀的统治,实现反帝反军阀的革命目标,建立新民主主义的新中国,
第一套卷会议文献专项,单项选择题,4,"独立自主是中华民族精神之魂，是我们立党立国的重要原则。走自己的路，是党的全部理论和实践立足点，更是党百年奋斗得出的历史结论。党历来坚持独立自主开拓前进道路，坚持把国家和民族发展放在自己力量的基点上，坚持中国的事情必须由中国人民自己作主张、自己来处理。在中国共产党的历史上，开启了中国共产党独立自主解决中国革命实际问题的新阶段的会议是",中共一大,中共二大,八七会议,遵义会议,
第一套卷会议文献专项,单项选择题,5,"1927年8月7日，中共中央在汉口秘密召开紧急会议（即八七会议）。会议批判和纠正了陈独秀右倾机会主义错误，撤销了他在党内的职务，选出了新的临时中央政治局。毛泽东同志出席了这次会议，提出的著名论断是",不要四面出击,红旗到底打得多久,兵民是胜利之本,须知政权是由枪杆子中取得的,
第一套卷会议文献专项,单项选择题,6,"1935年12月，中共中央在陕北瓦窑堡召开政治局扩大会议，提出党的基本策略任务是",使已经发动的抗战成为全面的全民族抗战,建立广泛的抗日民族统一战线,放手发动群众壮大人民力量建立一个新民主主义的中国,发展进步势力争取中间势力孤立顽固势力,
第一套卷会议文献专项,单项选择题,7,"1937年夏，毛泽东同志在延安抗日军政大学讲授《实践论》《矛盾论》，从马克思主义认识论的高度，总结中国共产党的历史经验，揭露和批评党内的主观主义尤其是教条主义错误，深入论证马克思列宁主义基本原理同中国具体实际相结合的原则，科学地阐明了",党的马克思主义的思想路线,党的政治路线上的问题,党内在军事问题上的大争论,新民主主义革命的科学概念和总路线,
第一套卷会议文献专项,单项选择题,8,"1937年8月，中国共产党在陕北洛川召开政治局扩大会议，制定了抗日救国十大纲领，强调要打倒日本帝国主义，关键在于",要用无产阶级思想进行军队和党的建设,抗日民族统一战线,战略相持阶段,全面的全民族抗战,
第一套卷会议文献专项,单项选择题,9,"1938年9月29日至11月6日，中共扩大的六届六中全会在延安召开。会议首次提出",新民主主义革命的科学概念,马克思主义的中国化的命题,新民主主义革命的三大法宝,反帝反封建的民主革命纲领,
第一套卷会议文献专项,单项选择题,10,"在深入总结历史经验的基础上，1944年5月21日至1945年4月20日，中共扩大的六届七中全会在延安召开。会议原则通过了《关于若干历史问题的决议》，对建党以后特别是党的六届四中全会至遵义会议前这一段党的历史及其经验教训进行了总结，对党的若干重大历史问题作出结论。《关于若干历史问题的决议》",对毛泽东思想的科学体系和活的灵魂作了概括,科学地评价了毛泽东同志和毛泽东思想的历史地位,使全党对中国革命基本问题的认识达到了一致,标志着党在政治上思想上组织上走向成熟,
